label,name,id,abstract,substitution_group,type,period,balance,nillable,facets,documentation
"Accumulated fair value hedge adjustment on hedged item included in carrying amount, liabilities",AccumulatedFairValueHedgeAdjustmentOnHedgedItemIncludedInCarryingAmountLiabilities,ifrs-full_AccumulatedFairValueHedgeAdjustmentOnHedgedItemIncludedInCarryingAmountLiabilities,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,"The accumulated amount of fair value hedge adjustment on a hedged item that is included in the carrying amount of the hedged item, recognised in the statement of financial position as a liability. [Refer: Hedged items [member]]"
"Accumulated fair value hedge adjustment remaining in statement of financial position for hedged item that ceased to be adjusted for hedging gains and losses, assets",AccumulatedFairValueHedgeAdjustmentRemainingInStatementOfFinancialPositionForHedgedItemThatCeasedToBeAdjustedForHedgingGainsAndLossesAssets,ifrs-full_AccumulatedFairValueHedgeAdjustmentRemainingInStatementOfFinancialPositionForHedgedItemThatCeasedToBeAdjustedForHedgingGainsAndLossesAssets,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,The accumulated amount of fair value hedge adjustment remaining in the statement of financial position for a hedged item that is a financial asset measured at amortised cost and has ceased to be adjusted for hedging gains and losses. [Refer: Financial assets at amortised cost; Hedged items [member]]
"Accumulated fair value hedge adjustment remaining in statement of financial position for hedged item that ceased to be adjusted for hedging gains and losses, liabilities",AccumulatedFairValueHedgeAdjustmentRemainingInStatementOfFinancialPositionForHedgedItemThatCeasedToBeAdjustedForHedgingGainsAndLossesLiabilities,ifrs-full_AccumulatedFairValueHedgeAdjustmentRemainingInStatementOfFinancialPositionForHedgedItemThatCeasedToBeAdjustedForHedgingGainsAndLossesLiabilities,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,The accumulated amount of fair value hedge adjustment remaining in the statement of financial position for a hedged item that is a financial liability measured at amortised cost and has ceased to be adjusted for hedging gains and losses. [Refer: Financial liabilities at amortised cost; Hedged items [member]]
Accumulated impairment [member],AccumulatedImpairmentMember,ifrs-full_AccumulatedImpairmentMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for accumulated impairment. [Refer: Impairment loss]
Accumulated increase (decrease) in fair value of credit derivatives or similar instruments related to financial assets designated as measured at fair value through profit or loss,AccumulatedChangesInFairValueOfFinancialAssetsRelatedCreditDerivativesOrSimilarInstruments,ifrs-full_AccumulatedChangesInFairValueOfFinancialAssetsRelatedCreditDerivativesOrSimilarInstruments,false,xbrli:item,xbrli:monetaryItemType,instant,,true,,The accumulated increase (decrease) in fair value of credit derivatives or similar instruments related to financial assets designated as measured at fair value through profit or loss. [Refer: Derivatives [member]; Increase (decrease) in fair value of financial assets designated as measured at fair value through profit or loss related credit derivatives or similar instruments; Financial assets]
Accumulated increase (decrease) in fair value of credit derivatives or similar instruments related to loans or receivables,AccumulatedChangesInFairValueOfLoansOrReceivablesRelatedCreditDerivativesOrSimilarInstruments,ifrs-full_AccumulatedChangesInFairValueOfLoansOrReceivablesRelatedCreditDerivativesOrSimilarInstruments,false,xbrli:item,xbrli:monetaryItemType,instant,,true,,The aggregate increase (decrease) in the fair value of credit derivatives or similar instruments related to loans or receivables. [Refer: Derivatives [member]; Increase (decrease) in fair value of loans or receivables related credit derivatives or similar instruments]
"Accumulated increase (decrease) in fair value of financial assets designated as measured at fair value through profit or loss, attributable to changes in credit risk of financial assets",AccumulatedChangesInFairValueOfFinancialAssetsAttributableToChangesInCreditRiskOfFinancialAssets,ifrs-full_AccumulatedChangesInFairValueOfFinancialAssetsAttributableToChangesInCreditRiskOfFinancialAssets,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,"The accumulated increase (decrease) in the fair value of financial assets designated as measured at fair value through profit or loss that is attributable to changes in the credit risk of the assets determined either: (a) as the amount of change in their fair value that is not attributable to changes in market conditions that gave rise to market risk; or (b) using an alternative method that the entity believes more faithfully represents the amount of change in its fair value that is attributable to changes in the credit risk of the asset. [Refer: Credit risk [member]; Market risk [member]; Increase (decrease) in fair value of financial assets designated as measured at fair value through profit or loss, attributable to changes in credit risk of financial assets]"
"Accumulated increase (decrease) in fair value of financial liability, attributable to changes in credit risk of liability",AccumulatedChangesInFairValueOfFinancialLiabilityAttributableToChangesInCreditRiskOfLiability,ifrs-full_AccumulatedChangesInFairValueOfFinancialLiabilityAttributableToChangesInCreditRiskOfLiability,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,"The accumulated increase (decrease) in the fair value of financial liabilities that is attributable to changes in the credit risk of the liabilities. [Refer: Credit risk [member]; Market risk [member]; Increase (decrease) in fair value of financial liability, attributable to changes in credit risk of liability]"
"Accumulated increase (decrease) in fair value of loan or receivable, attributable to changes in credit risk of financial assets",AccumulatedChangesInFairValueOfLoanOrReceivableAttributableToChangesInCreditRiskOfFinancialAssets,ifrs-full_AccumulatedChangesInFairValueOfLoanOrReceivableAttributableToChangesInCreditRiskOfFinancialAssets,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,The accumulated increase (decrease) in the fair value of loans or receivables that is attributable to changes in the credit risk of the assets determined either: (a) as the amount of change in their fair value that is not attributable to changes in the market conditions that gave rise to the market risk; or (b) using an alternative method the entity believes more faithfully represents the amount of change in its fair value that is attributable to changes in the credit risk of the asset. [Refer: Market risk [member]]
Accumulated other comprehensive income,AccumulatedOtherComprehensiveIncome,ifrs-full_AccumulatedOtherComprehensiveIncome,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,The amount of accumulated items of income and expense (including reclassification adjustments) that are not recognised in profit or loss as required or permitted by other IFRSs. [Refer: IFRSs [member]; Other comprehensive income]
Accumulated other comprehensive income [abstract],AccumulatedOtherComprehensiveIncomeAbstract,ifrs-full_AccumulatedOtherComprehensiveIncomeAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Accumulated other comprehensive income [member],AccumulatedOtherComprehensiveIncomeMember,ifrs-full_AccumulatedOtherComprehensiveIncomeMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for accumulated other comprehensive income. [Refer: Other comprehensive income]
Acquisition and administration expense related to insurance contracts,AcquisitionAndAdministrationExpenseRelatedToInsuranceContracts,ifrs-full_AcquisitionAndAdministrationExpenseRelatedToInsuranceContracts,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The amount of acquisition and administration expense relating to insurance contracts. [Refer: Types of insurance contracts [member]]
Acquisition-date fair value of equity interest in acquiree held by acquirer immediately before acquisition date,AcquisitiondateFairValueOfEquityInterestInAcquireeHeldByAcquirerImmediatelyBeforeAcquisitionDate,ifrs-full_AcquisitiondateFairValueOfEquityInterestInAcquireeHeldByAcquirerImmediatelyBeforeAcquisitionDate,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,The acquisition-date fair value of equity interest in the acquiree held by the acquirer immediately before the acquisition date in a business combination achieved in stages. [Refer: Business combinations [member]]
Acquisition-date fair value of total consideration transferred [abstract],AcquisitiondateFairValueOfTotalConsiderationTransferredAbstract,ifrs-full_AcquisitiondateFairValueOfTotalConsiderationTransferredAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Acquisition-related costs for transaction recognised separately from acquisition of assets and assumption of liabilities in business combination,AcquisitionrelatedCostsForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs-full_AcquisitionrelatedCostsForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The amount of acquisition-related costs for transactions recognised separately from the acquisition of assets and the assumption of liabilities in business combinations. [Refer: Business combinations [member]]
Acquisition-related costs recognised as expense for transaction recognised separately from acquisition of assets and assumption of liabilities in business combination,AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,ifrs-full_AcquisitionrelatedCostsRecognisedAsExpenseForTransactionRecognisedSeparatelyFromAcquisitionOfAssetsAndAssumptionOfLiabilitiesInBusinessCombination,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The amount of acquisition-related costs recognised as an expense for transactions that are recognised separately from the acquisition of assets and the assumption of liabilities in business combinations. [Refer: Business combinations [member]]
"Acquisitions through business combinations, biological assets",AcquisitionsThroughBusinessCombinationsBiologicalAssets,ifrs-full_AcquisitionsThroughBusinessCombinationsBiologicalAssets,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The increase in biological assets resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Biological assets]
"Acquisitions through business combinations, deferred acquisition costs arising from insurance contracts",AcquisitionsThroughBusinessCombinationsDeferredAcquisitionCostsArisingFromInsuranceContracts,ifrs-full_AcquisitionsThroughBusinessCombinationsDeferredAcquisitionCostsArisingFromInsuranceContracts,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The increase in deferred acquisition costs arising from insurance contracts resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Deferred acquisition costs arising from insurance contracts]
"Acquisitions through business combinations, intangible assets and goodwill",AcquisitionsThroughBusinessCombinationsIntangibleAssetsAndGoodwill,ifrs-full_AcquisitionsThroughBusinessCombinationsIntangibleAssetsAndGoodwill,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The increase in intangible assets and goodwill resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Intangible assets and goodwill]
"Acquisitions through business combinations, intangible assets other than goodwill",AcquisitionsThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill,ifrs-full_AcquisitionsThroughBusinessCombinationsIntangibleAssetsOtherThanGoodwill,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The increase in intangible assets other than goodwill resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Intangible assets other than goodwill]
"Acquisitions through business combinations, investment property",AcquisitionsThroughBusinessCombinationsInvestmentProperty,ifrs-full_AcquisitionsThroughBusinessCombinationsInvestmentProperty,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The increase in investment property resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Investment property]
"Acquisitions through business combinations, liabilities under insurance contracts and reinsurance contracts issued",AcquisitionsThroughBusinessCombinationsLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,ifrs-full_AcquisitionsThroughBusinessCombinationsLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,The increase in liabilities under insurance contracts and reinsurance contracts issued resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Liabilities under insurance contracts and reinsurance contracts issued]
"Acquisitions through business combinations, other provisions",AcquisitionsThroughBusinessCombinationsOtherProvisions,ifrs-full_AcquisitionsThroughBusinessCombinationsOtherProvisions,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,The increase in other provisions resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Other provisions]
"Acquisitions through business combinations, property, plant and equipment",AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,ifrs-full_AcquisitionsThroughBusinessCombinationsPropertyPlantAndEquipment,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,"The increase in property, plant and equipment resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Property, plant and equipment]"
"Acquisitions through business combinations, reinsurance assets",AcquisitionsThroughBusinessCombinationsReinsuranceAssets,ifrs-full_AcquisitionsThroughBusinessCombinationsReinsuranceAssets,false,xbrli:item,xbrli:monetaryItemType,duration,debit,true,,The increase in reinsurance assets resulting from acquisitions through business combinations. [Refer: Business combinations [member]; Reinsurance assets]
Actual claims that arise from contracts within scope of IFRS 17,ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17,ifrs-full_ActualClaimsThatAriseFromContractsWithinScopeOfIFRS17,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,The amount of the actual claims that arise from contracts within the scope of IFRS 17.
Actuarial assumption of discount rates,ActuarialAssumptionOfDiscountRates,ifrs-full_ActuarialAssumptionOfDiscountRates,false,xbrli:item,dtr-types:percentItemType,instant,,true,,"The discount rate used as the significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of discount rates [member],ActuarialAssumptionOfDiscountRatesMember,ifrs-full_ActuarialAssumptionOfDiscountRatesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the discount rates used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of expected rates of inflation,ActuarialAssumptionOfExpectedRatesOfInflation,ifrs-full_ActuarialAssumptionOfExpectedRatesOfInflation,false,xbrli:item,dtr-types:percentItemType,instant,,true,,"The expected rate of inflation that is used as a significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit plans [member]; Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of expected rates of inflation [member],ActuarialAssumptionOfExpectedRatesOfInflationMember,ifrs-full_ActuarialAssumptionOfExpectedRatesOfInflationMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the expected rates of inflation used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of expected rates of pension increases,ActuarialAssumptionOfExpectedRatesOfPensionIncreases,ifrs-full_ActuarialAssumptionOfExpectedRatesOfPensionIncreases,false,xbrli:item,dtr-types:percentItemType,instant,,true,,"The expected rate of increases in pension that is used as a significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit plans [member]; Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of expected rates of pension increases [member],ActuarialAssumptionOfExpectedRatesOfPensionIncreasesMember,ifrs-full_ActuarialAssumptionOfExpectedRatesOfPensionIncreasesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the expected rates of pension increases used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of expected rates of salary increases,ActuarialAssumptionOfExpectedRatesOfSalaryIncreases,ifrs-full_ActuarialAssumptionOfExpectedRatesOfSalaryIncreases,false,xbrli:item,dtr-types:percentItemType,instant,,true,,"The expected rate of salary increases used as a significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit plans [member]; Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of expected rates of salary increases [member],ActuarialAssumptionOfExpectedRatesOfSalaryIncreasesMember,ifrs-full_ActuarialAssumptionOfExpectedRatesOfSalaryIncreasesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the expected rates of salary increases used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of life expectancy after retirement,ActuarialAssumptionOfLifeExpectancyAfterRetirement2019,ifrs-full_ActuarialAssumptionOfLifeExpectancyAfterRetirement2019,false,xbrli:item,xbrli:durationItemType,duration,,true,,"The life expectancy after retirement used as a significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of life expectancy after retirement [member],ActuarialAssumptionOfLifeExpectancyAfterRetirementMember,ifrs-full_ActuarialAssumptionOfLifeExpectancyAfterRetirementMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the life expectancy after retirement used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of medical cost trend rates,ActuarialAssumptionOfMedicalCostTrendRates,ifrs-full_ActuarialAssumptionOfMedicalCostTrendRates,false,xbrli:item,dtr-types:percentItemType,instant,,true,,"Medical cost trend rate used as significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of medical cost trend rates [member],ActuarialAssumptionOfMedicalCostTrendRatesMember,ifrs-full_ActuarialAssumptionOfMedicalCostTrendRatesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the medical cost trend rates used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of mortality rates,ActuarialAssumptionOfMortalityRates,ifrs-full_ActuarialAssumptionOfMortalityRates,false,xbrli:item,xbrli:decimalItemType,instant,,true,,"The mortality rate used as a significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of mortality rates [member],ActuarialAssumptionOfMortalityRatesMember,ifrs-full_ActuarialAssumptionOfMortalityRatesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the mortality rates used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumption of retirement age,ActuarialAssumptionOfRetirementAge2019,ifrs-full_ActuarialAssumptionOfRetirementAge2019,false,xbrli:item,xbrli:durationItemType,duration,,true,,"The retirement age used as a significant actuarial assumption to determine the present value of a defined benefit obligation. [Refer: Defined benefit obligation, at present value; Actuarial assumptions [member]]"
Actuarial assumption of retirement age [member],ActuarialAssumptionOfRetirementAgeMember,ifrs-full_ActuarialAssumptionOfRetirementAgeMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the retirement age used as actuarial assumptions. [Refer: Actuarial assumptions [member]]
Actuarial assumptions [axis],ActuarialAssumptionsAxis,ifrs-full_ActuarialAssumptionsAxis,true,xbrldt:dimensionItem,xbrli:stringItemType,duration,,true,,The axis of a table defines the relationship between the members in the table and the line items or concepts that complete the table.
Actuarial assumptions [member],ActuarialAssumptionsMember,ifrs-full_ActuarialAssumptionsMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for all actuarial assumptions. Actuarial assumptions are the entity’s unbiased and mutually compatible best estimates of the demographic and financial variables that will determine the ultimate cost of providing post-employment benefits. It also represents the standard value for the 'Actuarial assumptions' axis if no other member is used.
"Actuarial gains (losses) arising from changes in demographic assumptions, before tax, defined benefit plans",ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsBeforeTaxDefinedBenefitPlans,ifrs-full_ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsBeforeTaxDefinedBenefitPlans,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,"The amount of other comprehensive income, before tax, resulting from actuarial gains (losses) arising from changes in demographic assumptions that result in remeasurements of the net defined benefit liability (asset). Demographic assumptions deal with matters such as: (a) mortality; (b) rates of employee turnover, disability and early retirement; (c) the proportion of plan members with dependants who will be eligible for benefits; (d) the proportion of plan members who will select each form of payment option available under the plan terms; and (e) claim rates under medical plans. [Refer: Other comprehensive income, before tax, gains (losses) on remeasurements of defined benefit plans] [Contrast: Decrease (increase) in net defined benefit liability (asset) resulting from actuarial gains (losses) arising from changes in demographic assumptions]"
"Actuarial gains (losses) arising from changes in demographic assumptions, net of tax, defined benefit plans",ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsNetOfTaxDefinedBenefitPlans,ifrs-full_ActuarialGainsLossesArisingFromChangesInDemographicAssumptionsNetOfTaxDefinedBenefitPlans,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,"The amount of other comprehensive income, net of tax, resulting from actuarial gains (losses) arising from changes in demographic assumptions that result in remeasurements of the net defined benefit liability (asset). Demographic assumptions deal with matters such as: (a) mortality; (b) rates of employee turnover, disability and early retirement; (c) the proportion of plan members with dependants who will be eligible for benefits; (d) the proportion of plan members who will select each form of payment option available under the plan terms; and (e) claim rates under medical plans. [Refer: Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans] [Contrast: Decrease (increase) in net defined benefit liability (asset) resulting from actuarial gains (losses) arising from changes in demographic assumptions]"
"Actuarial gains (losses) arising from changes in financial assumptions, before tax, defined benefit plans",ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsBeforeTaxDefinedBenefitPlans,ifrs-full_ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsBeforeTaxDefinedBenefitPlans,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,"The amount of other comprehensive income, before tax, resulting from actuarial gains (losses) arising from changes in financial assumptions that result in remeasurements of the net defined benefit liability (asset). Financial assumptions deal with items such as: (a) the discount rate; (b) benefit levels, excluding any cost of the benefits to be met by employees, and future salary; (c) in the case of medical benefits, future medical costs, including claim handling costs (ie the costs that will be incurred in processing and resolving claims, including legal and adjuster's fees); and (d) taxes payable by the plan on contributions relating to service before the reporting date or on benefits resulting from that service. [Refer: Other comprehensive income, before tax, gains (losses) on remeasurements of defined benefit plans] [Contrast: Decrease (increase) in net defined benefit liability (asset) resulting from actuarial gains (losses) arising from changes in financial assumptions]"
"Actuarial gains (losses) arising from changes in financial assumptions, net of tax, defined benefit plans",ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetOfTaxDefinedBenefitPlans,ifrs-full_ActuarialGainsLossesArisingFromChangesInFinancialAssumptionsNetOfTaxDefinedBenefitPlans,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,"The amount of other comprehensive income, net of tax, resulting from actuarial gains (losses) arising from changes in financial assumptions that result in remeasurements of the net defined benefit liability (asset). Financial assumptions deal with items such as: (a) the discount rate; (b) benefit levels, excluding any cost of the benefits to be met by employees, and future salary; (c) in the case of medical benefits, future medical costs, including claim handling costs (ie the costs that will be incurred in processing and resolving claims, including legal and adjuster's fees); and (d) taxes payable by the plan on contributions relating to service before the reporting date or on benefits resulting from that service. [Refer: Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans] [Contrast: Decrease (increase) in net defined benefit liability (asset) resulting from actuarial gains (losses) arising from changes in financial assumptions]"
"Actuarial gains (losses) arising from experience adjustments, before tax, defined benefit plans",ActuarialGainsLossesArisingFromExperienceAdjustmentsBeforeTaxDefinedBenefitPlans,ifrs-full_ActuarialGainsLossesArisingFromExperienceAdjustmentsBeforeTaxDefinedBenefitPlans,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,"The amount of other comprehensive income, before tax, resulting from actuarial gains (losses) arising from experience adjustments that result in remeasurements of the net defined benefit liability (asset). Experience adjustments deal with the effects of differences between the previous actuarial assumptions and what has actually occurred. [Refer: Other comprehensive income, before tax, gains (losses) on remeasurements of defined benefit plans] [Contrast: Decrease (increase) in net defined benefit liability (asset) resulting from actuarial gains (losses) arising from experience adjustments]"
"Actuarial gains (losses) arising from experience adjustments, net of tax, defined benefit plans",ActuarialGainsLossesArisingFromExperienceAdjustmentsNetOfTaxDefinedBenefitPlans,ifrs-full_ActuarialGainsLossesArisingFromExperienceAdjustmentsNetOfTaxDefinedBenefitPlans,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,"The amount of other comprehensive income, net of tax, resulting from actuarial gains (losses) arising from experience adjustments that result in remeasurements of the net defined benefit liability (asset). Experience adjustments deal with the effects of differences between the previous actuarial assumptions and what has actually occurred. [Refer: Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans] [Contrast: Decrease (increase) in net defined benefit liability (asset) resulting from actuarial gains (losses) arising from experience adjustments]"
